Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
'1624580081','4/9/2016',3572,2.3199999332,2.3199999332,0.0,0.0,0.0,2.2899999619,0.0299999993,0,0,122,1318,1370
'1624580081','4/10/2016',3910,2.5399999619,2.5399999619,0.0,0.4699999988,0.25,1.8099999428,0.0099999998,7,7,186,1240,1555
'1624580081','4/11/2016',10000,6.5,6.5,0.0,0.0,0.0,6.5,0.0,0,0,172,1268,1469
'1624580081','4/12/2016',6627,4.3099999428,4.3099999428,0.0,0.0,0.0,4.3099999428,0.0,0,0,89,604,706
'1644430081','4/1/2016',4636,3.4100000858,3.4100000858,0.0,0.0,0.7799999714,2.5999999046,0.0299999993,0,16,586,838,3323
'1644430081','4/2/2016',20237,14.7100000381,14.7100000381,0.0,2.5699999332,6.4000000954,5.7300000191,0.0099999998,34,141,347,918,4029
'1644430081','4/3/2016',12912,9.4099998474,9.4099998474,0.0,4.8299999237,0.7699999809,3.7899999619,0.0299999993,59,16,283,1082,3436
'1644430081','4/4/2016',2819,2.0499999523,2.0499999523,0.0,0.3100000024,0.1700000018,1.5599999428,0.0099999998,4,4,87,1345,2444
'1644430081','4/5/2016',9921,7.2100000381,7.2100000381,0.0,0.3400000036,1.5199999809,5.3600001335,0.0,5,35,219,1181,3098
'1644430081','4/6/2016',8046,5.8499999046,5.8499999046,0.0,1.2899999619,2.1199998856,2.4500000477,0.0,18,41,137,1244,2925
'1644430081','4/7/2016',11166,8.1199998856,8.1199998856,0.0,0.2099999934,2.4100000858,5.5,0.0,3,58,230,1149,3202
'1644430081','4/8/2016',7842,5.6999998093,5.6999998093,0.0,0.4799999893,2.4100000858,2.8099999428,0.0,7,43,161,1229,2928
'1644430081','4/9/2016',13840,10.0600004196,10.0600004196,0.0,1.3099999428,3.7200000286,5.0300002098,0.0,18,81,192,1149,3290
'1644430081','4/10/2016',1329,0.9700000286,0.9700000286,0.0,0.0,0.0,0.9700000286,0.0,0,0,35,207,489
'1844505072','4/1/2016',6847,4.5300002098,4.5300002098,0.0,0.6100000143,0.3700000048,3.5499999523,0.0,9,9,251,1171,1969
'1844505072','4/2/2016',5367,3.5499999523,3.5499999523,0.0,0.0,0.0,3.5499999523,0.0,0,0,263,1177,1889
'1844505072','4/3/2016',2841,1.8799999952,1.8799999952,0.0,0.0,0.0,1.8799999952,0.0,0,0,136,1114,1636
'1844505072','4/4/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,669,1347
'1844505072','4/5/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1347
'1844505072','4/6/2016',7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1439,1349
'1844505072','4/7/2016',6344,4.1900000572,4.1900000572,0.0,0.0,0.0,4.1900000572,0.0,0,0,290,1150,1965
'1844505072','4/8/2016',5316,3.5099999905,3.5099999905,0.0,0.0,0.0,3.5099999905,0.0,0,0,221,1219,1824
'1844505072','4/9/2016',4979,3.2899999619,3.2899999619,0.0,0.0,0.0,3.2899999619,0.0,0,0,184,620,1807
'1844505072','4/10/2016',6556,4.3400001526,4.3400001526,0.0,0.0,0.0,4.3299999237,0.0,0,0,305,810,1971
'1844505072','4/11/2016',5430,3.5899999142,3.5899999142,0.0,0.0,0.0,3.5899999142,0.0,0,0,251,1189,1888
'1844505072','4/12/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,426,399
'1927972279','4/1/2016',4317,2.9900000095,2.9900000095,0.0,0.0,0.3700000048,2.6199998856,0.0,0,11,192,854,2590
'1927972279','4/2/2016',5662,3.9200000763,3.9200000763,0.0,0.0,0.0,3.9200000763,0.0,0,0,267,858,2783
'1927972279','4/3/2016',3198,2.2100000381,2.2100000381,0.0,0.0,0.0,2.2100000381,0.0,0,0,146,1183,2449
'1927972279','4/4/2016',2352,1.6299999952,1.6299999952,0.0,0.0,0.0,1.6299999952,0.0,0,0,128,829,2380
'1927972279','4/5/2016',2234,1.5499999523,1.5499999523,0.0,0.0,0.0,1.5499999523,0.0,0,0,108,912,2344
'1927972279','4/6/2016',1259,0.8700000048,0.8700000048,0.0,0.0,0.0,0.8700000048,0.0,0,0,73,938,2202
'1927972279','4/7/2016',768,0.5299999714,0.5299999714,0.0,0.0,0.0,0.5299999714,0.0,0,0,43,1397,2130
'1927972279','4/8/2016',519,0.3600000143,0.3600000143,0.0,0.0,0.0,0.3600000143,0.0,0,0,34,1406,2088
'1927972279','4/9/2016',2523,1.75,1.75,0.0,0.0,0.3700000048,1.3799999952,0.0,0,9,134,1250,2443
'1927972279','4/10/2016',2105,1.4600000381,1.4600000381,0.0,0.0,0.0,1.4600000381,0.0,0,0,139,805,2442
'1927972279','4/11/2016',1209,0.8399999738,0.8399999738,0.0,0.0,0.0,0.8399999738,0.0,0,0,73,842,2255
'1927972279','4/12/2016',24,0.0199999996,0.0199999996,0.0,0.0,0.0,0.0199999996,0.0,0,0,3,161,942
'2022484408','4/1/2016',13603,9.6000003815,9.6000003815,0.0,5.4600000381,0.6299999952,3.5099999905,0.0,72,16,213,1139,2645
'2022484408','4/2/2016',5477,3.8399999142,3.8399999142,0.0,0.0,0.0,3.8399999142,0.0,0,0,237,1203,2040
'2022484408','4/3/2016',11144,7.8200001717,7.8200001717,0.0,1.7899999619,0.8899999857,5.1399998665,0.0,25,22,279,1114,2395
'2022484408','4/4/2016',15313,11.0,11.0,0.0,5.0199999809,1.2899999619,4.6900000572,0.0,62,19,233,1126,2581
'2022484408','4/5/2016',10805,7.5900001526,7.5900001526,0.0,0.7200000286,0.9800000191,5.8899998665,0.0,36,37,298,1069,2735
'2022484408','4/6/2016',15392,10.9300003052,10.9300003052,0.0,3.4300000668,1.75,5.75,0.0,47,42,258,1093,2733
'2022484408','4/7/2016',18247,13.8299999237,13.8299999237,0.0,7.1100001335,2.2100000381,4.5100002289,0.0,72,62,252,1054,3021
'2022484408','4/8/2016',13023,9.2600002289,9.2600002289,0.0,3.2300000191,0.5600000024,5.4699997902,0.0,40,12,296,1092,2577
'2022484408','4/9/2016',16267,12.5900001526,12.5900001526,0.0,5.75,0.4699999988,6.3699998856,0.0,44,16,302,1078,2811
'2022484408','4/10/2016',10005,7.0199999809,7.0199999809,0.0,0.0799999982,1.0499999523,5.9000000954,0.0,1,23,339,1077,2458
'2022484408','4/11/2016',10106,7.0900001526,7.0900001526,0.0,1.2100000381,0.5600000024,5.3299999237,0.0,41,16,272,1111,2568
'2022484408','4/12/2016',6717,4.7199997902,4.7199997902,0.0,3.2300000191,0.2199999988,1.2699999809,0.0,41,5,67,551,1140
'2026352035','4/1/2016',2605,1.6200000048,1.6200000048,0.0,0.0,0.0,1.6200000048,0.0,0,0,166,729,1407
'2026352035','4/2/2016',1229,0.7599999905,0.7599999905,0.0,0.0,0.0,0.7599999905,0.0,0,0,69,795,1237
'2026352035','4/3/2016',2308,1.4299999475,1.4299999475,0.0,0.0,0.0,1.4299999475,0.0,0,0,115,720,1330
'2026352035','4/4/2016',6679,4.1399998665,4.1399998665,0.0,0.0,0.0,4.1399998665,0.0,0,0,263,644,1583
'2026352035','4/5/2016',5645,3.5,3.5,0.0,0.0,0.0,3.5,0.0,0,0,248,621,1538
'2026352035','4/6/2016',3180,1.9700000286,1.9700000286,0.0,0.0,0.0,1.9700000286,0.0,0,0,185,738,1421
'2026352035','4/7/2016',2767,1.7200000286,1.7200000286,0.0,0.0,0.0,1.7200000286,0.0,0,0,170,673,1392
'2026352035','4/8/2016',3762,2.3299999237,2.3299999237,0.0,0.0,0.0,2.3299999237,0.0,0,0,173,719,1425
'2026352035','4/9/2016',3098,1.9199999571,1.9199999571,0.0,0.0,0.0,1.9199999571,0.0,0,0,185,700,1413
'2026352035','4/10/2016',5142,3.1900000572,3.1900000572,0.0,0.0,0.0,3.1900000572,0.0,0,0,230,654,1515
'2026352035','4/11/2016',3279,2.0299999714,2.0299999714,0.0,0.0,0.0,2.0299999714,0.0,0,0,164,694,1405
'2026352035','4/12/2016',1019,0.6299999952,0.6299999952,0.0,0.0,0.0,0.6299999952,0.0,0,0,64,223,600
'2320127002','4/1/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
'2320127002','4/2/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
'2320127002','4/3/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
'2320127002','4/4/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
'2320127002','4/5/2016',4931,3.3199999332,3.3199999332,0.0,0.0,0.0,3.3199999332,0.0,0,0,175,1265,1708
'2320127002','4/6/2016',6999,4.7199997902,4.7199997902,0.0,0.0,0.0,4.7199997902,0.0,0,0,320,1120,1950
'2320127002','4/7/2016',1846,1.2400000095,1.2400000095,0.0,0.0,0.0,1.2400000095,0.0,0,0,93,1347,1508
'2320127002','4/8/2016',3417,2.2999999523,2.2999999523,0.0,0.0,0.0,2.2999999523,0.0,0,0,153,1287,1625
'2320127002','4/9/2016',4863,3.2799999714,3.2799999714,0.0,0.0599999987,0.4199999869,2.7999999523,0.0,1,11,208,1220,1772
'2320127002','4/10/2016',2277,1.5299999714,1.5299999714,0.0,0.0,0.0,1.5299999714,0.0,0,0,103,1337,1530
'2320127002','4/11/2016',11230,7.6700000763,7.6700000763,0.0,0.8899999857,0.1199999973,6.6599998474,0.0,10,2,390,1038,2206
'2320127002','4/12/2016',2098,1.4099999666,1.4099999666,0.0,0.0,0.0,1.4099999666,0.0,0,0,69,617,790
'2347167796','3/29/2016',10272,6.7899999619,6.7899999619,0.0,0.1599999964,3.1199998856,3.5,0.0,2,58,208,700,2041
'2347167796','3/30/2016',10533,7.0999999046,7.0999999046,0.0,1.7699999809,2.0599999428,3.2699999809,0.0,21,35,255,615,2187
'2347167796','3/31/2016',6760,4.4699997902,4.4699997902,0.0,0.0,0.0,4.4699997902,0.0,0,0,250,613,1929
'2347167796','4/1/2016',8328,5.5100002289,5.5100002289,0.0,0.0,2.0,3.5,0.0,0,33,212,804,1935
'2347167796','4/2/2016',15459,10.220000267,10.220000267,0.0,3.5899999142,0.8100000024,5.8200001717,0.0,51,16,327,583,2438
'2347167796','4/3/2016',7485,4.9499998093,4.9499998093,0.0,0.0,0.0,4.9499998093,0.0,0,0,324,491,2035
'2347167796','4/4/2016',10254,6.8000001907,6.8000001907,0.0,1.4199999571,1.2300000191,4.1599998474,0.0,21,25,231,638,2099
'2347167796','4/5/2016',10114,6.8200001717,6.8200001717,0.0,1.6399999857,0.4799999893,4.6799998283,0.0,18,9,269,696,2096
'2347167796','4/6/2016',11107,7.3400001526,7.3400001526,0.0,0.8999999762,2.7599999905,3.6800000668,0.0,14,46,196,759,2058
'2347167796','4/7/2016',10320,6.8499999046,6.8499999046,0.0,0.6800000072,1.2300000191,4.9400000572,0.0,15,32,315,1002,2338
'2347167796','4/8/2016',10209,6.75,6.75,0.0,0.1599999964,0.349999994,6.2300000191,0.0,2,6,316,711,2104
'2347167796','4/9/2016',16081,10.6300001144,10.6300001144,0.0,1.25,1.8200000525,7.5599999428,0.0,16,32,401,970,2488
'2347167796','4/10/2016',10078,6.8299999237,6.8299999237,0.0,1.0199999809,0.1199999973,5.6900000572,0.0,12,3,303,463,2164
'2347167796','4/11/2016',10001,6.6100001335,6.6100001335,0.0,0.3300000131,2.9300000668,3.3599998951,0.0,5,52,196,788,2009
'2347167796','4/12/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,425,399
'2873212765','4/1/2016',890,0.6000000238,0.6000000238,0.0,0.0,0.0,0.6000000238,0.0,0,0,41,1399,1335
'2873212765','4/2/2016',2214,1.4900000095,1.4900000095,0.0,0.0,0.0,1.4900000095,0.0,0,0,197,1243,1559
'2873212765','4/3/2016',7640,5.1300001144,5.1300001144,0.0,0.1899999976,0.8000000119,4.1500000954,0.0,3,15,315,1107,1845
'2873212765','4/4/2016',9713,6.5300002098,6.5300002098,0.0,0.3400000036,0.8899999857,5.2899999619,0.0,6,24,355,1055,2046
'2873212765','4/5/2016',8432,5.6700000763,5.6700000763,0.0,0.0,0.0,5.6500000954,0.0099999998,0,0,374,1066,1953
'2873212765','4/6/2016',7350,4.9400000572,4.9400000572,0.0,0.0,0.0,4.9400000572,0.0,0,0,382,1058,1910
'2873212765','4/7/2016',9353,6.3099999428,6.3099999428,0.0,0.3700000048,0.6899999976,5.2399997711,0.0,5,17,363,1055,2035
'2873212765','4/8/2016',7157,4.8099999428,4.8099999428,0.0,0.0,0.0,4.8099999428,0.0,0,0,380,1060,1944
'2873212765','4/9/2016',14103,9.5600004196,9.5600004196,0.0,3.0199999809,0.4099999964,6.1399998665,0.0099999998,46,8,288,1098,2257
'2873212765','4/10/2016',5290,3.5499999523,3.5499999523,0.0,0.0399999991,0.3400000036,3.1700000763,0.0,1,8,251,1180,1724
'2873212765','4/11/2016',7497,5.0399999619,5.0399999619,0.0,0.0,0.0,5.0399999619,0.0,0,0,357,882,1741
'2873212765','4/12/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0
'2891001357','3/29/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
'2891001357','3/30/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
'2891001357','3/31/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
'2891001357','4/1/2016',0,0.0,0.0,4.8280320168,0.0,0.0,0.0,0.0,0,660,0,780,4562
'2891001357','4/2/2016',4126,3.2200000286,0.0,3.2186880112,0.0,0.0,3.2200000286,0.0,0,0,720,720,2881
'2891001357','4/3/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
'2891001357','4/4/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
'2891001357','4/5/2016',2063,1.6100000143,0.0,1.6093440056,0.0,0.0,1.6100000143,0.0,0,0,630,99,1144
'3372868164','4/1/2016',5785,3.9500000477,3.9500000477,0.0,0.0,0.0,3.9100000858,0.0399999991,0,0,311,1129,1852
'3372868164','4/2/2016',7625,5.2300000191,5.2300000191,0.0,1.6799999475,0.0399999991,3.5,0.0099999998,24,1,341,1074,2069
'3372868164','4/3/2016',4706,3.2100000381,3.2100000381,0.0,0.0,0.0,3.2100000381,0.0,0,0,299,1141,1816
'3372868164','4/4/2016',5861,4.0199999809,4.0199999809,0.0,1.2999999523,0.2199999988,2.4900000095,0.0099999998,20,7,233,1180,1878
'3372868164','4/5/2016',4460,3.0399999619,3.0399999619,0.0,0.0,0.0,3.0199999809,0.0299999993,0,0,248,1192,1787
'3372868164','4/6/2016',6406,4.3899998665,4.3899998665,0.0,0.7799999714,0.0900000036,3.5199999809,0.0099999998,17,4,325,1094,2010
'3372868164','4/7/2016',7392,5.0999999046,5.0999999046,0.0,0.8700000048,0.1599999964,4.0500001907,0.0199999996,14,9,332,1085,2038
'3372868164','4/8/2016',5551,3.7899999619,3.7899999619,0.0,0.0,0.0,3.7699999809,0.0099999998,0,0,282,1158,1815
'3372868164','4/9/2016',8827,6.25,6.25,0.0,1.7699999809,0.4799999893,4.0,0.0099999998,21,10,346,1063,2062
'3372868164','4/10/2016',4662,3.1800000668,3.1800000668,0.0,1.0399999619,0.150000006,1.9900000095,0.0,22,4,152,735,1276
'3977333714','4/1/2016',4499,3.0099999905,3.0099999905,0.0,0.0,0.0,3.0099999905,0.0,0,0,168,842,1288
'3977333714','4/2/2016',7618,5.0999999046,5.0999999046,0.0,0.0,0.1800000072,4.9099998474,0.0,0,6,302,842,1490
'3977333714','4/3/2016',11508,7.6999998093,7.6999998093,0.0,2.1700000763,0.8399999738,4.6900000572,0.0,29,22,282,748,1630
'3977333714','4/4/2016',11943,7.9899997711,7.9899997711,0.0,1.0299999714,2.0099999905,4.9499998093,0.0,16,43,297,710,1648
'3977333714','4/5/2016',12303,8.2299995422,8.2299995422,0.0,1.7100000381,1.3500000238,5.1700000763,0.0,26,32,291,605,1649
'3977333714','4/6/2016',15425,10.3199996948,10.3199996948,0.0,1.6200000048,1.8200000525,6.8699998856,0.0,24,45,331,614,1783
'3977333714','4/7/2016',8422,5.6300001144,5.6300001144,0.0,0.0,3.5999999046,2.0399999619,0.0,0,81,139,815,1431
'3977333714','4/8/2016',10226,6.8400001526,6.8400001526,0.0,0.0,4.4400000572,2.4000000954,0.0,0,101,174,685,1524
'3977333714','4/9/2016',14583,9.7600002289,9.7600002289,0.0,2.4800000191,1.7400000095,5.5300002098,0.0,35,36,254,697,1697
'3977333714','4/10/2016',3573,2.3900001049,2.3900001049,0.0,0.9399999976,0.4099999964,0.9700000286,0.0,15,8,99,866,1232
'3977333714','4/11/2016',3108,2.1400001049,2.1400001049,0.0,0.0700000003,0.0399999991,1.9600000381,0.0,1,1,129,894,1223
'3977333714','4/12/2016',759,0.5699999928,0.5699999928,0.0,0.0,0.0,0.5699999928,0.0,0,0,17,187,182
'4020332650','3/12/2016',5543,3.9700000286,3.9700000286,0.0,0.0,0.0,3.9600000381,0.0099999998,0,0,254,757,2990
'4020332650','3/13/2016',3226,2.3099999428,2.3099999428,0.0,0.0,0.0,2.2799999714,0.0,0,0,136,771,2480
'4020332650','3/14/2016',3023,2.1700000763,2.1700000763,0.0,0.0,0.0,2.1400001049,0.0,0,0,145,1005,2570
'4020332650','3/15/2016',5906,4.2300000191,4.2300000191,0.0,0.0,0.1599999964,4.0399999619,0.0,0,10,215,874,3016
'4020332650','3/16/2016',12483,8.9899997711,8.9899997711,0.0,1.4500000477,0.5699999928,6.9000000954,0.0,25,14,309,599,3830
'4020332650','3/17/2016',8940,6.4099998474,6.4099998474,0.0,0.0,0.0,0.6100000143,0.0399999991,0,0,47,986,3706
'4020332650','3/18/2016',368,0.2599999905,0.2599999905,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2024
'4020332650','3/19/2016',5702,4.0900001526,4.0900001526,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2980
'4020332650','3/20/2016',10330,7.4099998474,7.4099998474,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3728
'4020332650','3/21/2016',8778,6.2899999619,6.2899999619,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3348
'4020332650','3/22/2016',6662,4.7800002098,4.7800002098,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3162
'4020332650','3/23/2016',6309,4.5199999809,4.5199999809,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3140
'4020332650','3/24/2016',1951,1.4099999666,1.4099999666,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1980
'4020332650','3/25/2016',5563,3.9900000095,3.9900000095,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3681
'4020332650','3/26/2016',4370,3.1300001144,3.1300001144,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3444
'4020332650','3/27/2016',7144,5.1199998856,5.1199998856,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3510
'4020332650','3/28/2016',2106,1.5099999905,1.5099999905,0.0,0.0199999996,0.0500000007,0.2099999934,0.0,31,45,75,1289,4010
'4020332650','3/29/2016',4152,2.9800000191,2.9800000191,0.0,0.0,0.0,2.9600000381,0.0,0,0,187,1253,2976
'4020332650','3/30/2016',5400,3.8699998856,3.8699998856,0.0,0.0,0.0,3.8499999046,0.0,0,0,258,795,3418
'4020332650','3/31/2016',7428,5.3299999237,5.3299999237,0.0,0.8700000048,0.9200000167,3.5099999905,0.0,18,33,261,860,3439
'4020332650','4/1/2016',5351,3.8399999142,3.8399999142,0.0,0.6200000048,0.1800000072,3.0099999905,0.0,15,17,210,748,3338
'4020332650','4/2/2016',4299,3.0999999046,3.0999999046,0.0,0.0900000036,0.2099999934,2.7400000095,0.0399999991,3,15,162,752,2892
'4020332650','4/3/2016',6107,4.3800001144,4.3800001144,0.0,0.0,0.0,4.3600001335,0.0,0,0,265,776,3313
'4020332650','4/4/2016',6429,4.5999999046,4.5999999046,0.0,0.0,0.9499999881,3.6500000954,0.0,0,28,193,741,3118
'4020332650','4/5/2016',6880,4.9299998283,4.9299998283,0.0,0.5,0.7599999905,3.6500000954,0.0,7,19,165,1249,2966
'4020332650','4/6/2016',7476,5.3600001335,5.3600001335,0.0,0.0,0.0,5.3099999428,0.0,0,0,263,920,3253
'4020332650','4/7/2016',6581,4.7199997902,4.7199997902,0.0,0.0,0.2899999917,4.3899998665,0.0,0,8,241,1191,3032
'4020332650','4/8/2016',10480,7.5100002289,7.5100002289,0.0,0.4099999964,1.4700000286,5.0100002289,0.0399999991,6,37,272,1125,4034
'4020332650','4/9/2016',7734,5.5500001907,5.5500001907,0.0,1.1599999666,0.4900000095,3.8199999332,0.0599999987,20,12,223,1185,3264
'4020332650','4/10/2016',5129,3.6800000668,3.6800000668,0.0,0.1800000072,0.2399999946,3.2100000381,0.0099999998,5,7,176,1178,2817
'4020332650','4/11/2016',2993,2.1500000954,2.1500000954,0.0,0.0,0.0,2.0899999142,0.0,0,0,114,888,2507
'4020332650','4/12/2016',8,0.0099999998,0.0099999998,0.0,0.0,0.0,0.0099999998,0.0,0,0,1,321,446
'4057192912','3/12/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777
'4057192912','3/13/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777
'4057192912','3/14/2016',8433,6.2300000191,6.2300000191,0.0,2.4500000477,0.3300000131,3.4400000572,0.0,30,7,135,1268,2453
'4057192912','3/15/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776
'4057192912','3/16/2016',2139,1.5599999428,1.5599999428,0.0,0.0,1.2999999523,0.2599999905,0.0,0,28,15,1397,1935
'4057192912','3/17/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776
'4057192912','3/18/2016',949,0.6899999976,0.6899999976,0.0,0.0,0.0,0.6899999976,0.0,0,0,34,1406,1870
'4057192912','3/19/2016',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777
'4057192912','3/20/2016',44,0.0299999993,0.0299999993,0.0,0.0,0.0,0.0299999993,0.0,0,0,2,1438,1782
'4057192912','3/21/2016',2660,1.9400000572,1.9400000572,0.0,0.0,0.0,1.9400000572,0.0,0,0,46,1394,1978
'4057192912','3/22/2016',5561,4.1900000572,4.1900000572,0.0,0.0,0.0,4.0700001717,0.0,0,0,169,1271,2296
